moves: 50000, loss: 563.7362670898438, accuracy: 0.34375, average_max_q: 9.09971500565298
moves: 50004, loss: 3132.46533203125, accuracy: 0.46875, average_max_q: 2.7520692393416537
moves: 50008, loss: 836.3356323242188, accuracy: 0.375, average_max_q: 7.0442433166084815
moves: 50012, loss: 483.7010192871094, accuracy: 0.28125, average_max_q: 7.545953170908615
moves: 50016, loss: 1716.670166015625, accuracy: 0.34375, average_max_q: 7.241577298473567
moves: 50020, loss: 9.592995643615723, accuracy: 0.28125, average_max_q: 6.891402974678203
moves: 50024, loss: 18.553970336914062, accuracy: 0.1875, average_max_q: 7.494529619230889
moves: 50028, loss: 1128.6934814453125, accuracy: 0.4375, average_max_q: 21.758467985270542
moves: 50032, loss: 1391.023193359375, accuracy: 0.4375, average_max_q: 4.466546027152799
moves: 50036, loss: 841.3121337890625, accuracy: 0.3125, average_max_q: 11.770729032414966
moves: 50040, loss: 940.2556762695312, accuracy: 0.28125, average_max_q: 8.936701838555745
moves: 50044, loss: 101.00688934326172, accuracy: 0.1875, average_max_q: 13.826996752619744
moves: 50048, loss: 469.80401611328125, accuracy: 0.3125, average_max_q: 4.7684543983777985
moves: 50052, loss: 1421.93359375, accuracy: 0.40625, average_max_q: 16.452688640682027
moves: 50056, loss: 8.458797454833984, accuracy: 0.4375, average_max_q: 5.132492852513678
moves: 50060, loss: 410.839111328125, accuracy: 0.3125, average_max_q: 3.5068636417156087
moves: 50064, loss: 949.3193359375, accuracy: 0.375, average_max_q: 10.49346121721901
moves: 50068, loss: 1142.2010498046875, accuracy: 0.28125, average_max_q: 17.74749295434449
moves: 50072, loss: 893.2214965820312, accuracy: 0.375, average_max_q: 2.8116723608225582
moves: 50076, loss: 1089.920166015625, accuracy: 0.40625, average_max_q: 21.722526489710432
moves: 50080, loss: 1701.5361328125, accuracy: 0.40625, average_max_q: 27.783450792194344
moves: 50084, loss: 1890.2935791015625, accuracy: 0.28125, average_max_q: 10.165208791475743
moves: 50088, loss: 1375.72412109375, accuracy: 0.375, average_max_q: 5.99767256535124
moves: 50092, loss: 707.0439453125, accuracy: 0.21875, average_max_q: 22.151280284603125
moves: 50096, loss: 41.197269439697266, accuracy: 0.25, average_max_q: 11.245245346799493
moves: 50100, loss: 453.63800048828125, accuracy: 0.40625, average_max_q: 7.879017346771434
moves: 50104, loss: 25.20058822631836, accuracy: 0.25, average_max_q: 6.983582627796569
moves: 50108, loss: 1300.811767578125, accuracy: 0.375, average_max_q: 7.257364668510855
moves: 50112, loss: 1288.701904296875, accuracy: 0.4375, average_max_q: 10.988935912097805
moves: 50116, loss: 944.2225341796875, accuracy: 0.28125, average_max_q: 8.692318612081
moves: 50120, loss: 989.85009765625, accuracy: 0.46875, average_max_q: 13.288736439263449
moves: 50124, loss: 1078.709228515625, accuracy: 0.3125, average_max_q: 26.808478276454842
moves: 50128, loss: 758.6713256835938, accuracy: 0.4375, average_max_q: 7.20246328948997
moves: 50132, loss: 1392.694091796875, accuracy: 0.375, average_max_q: 2.3683556616306305
moves: 50136, loss: 479.4989929199219, accuracy: 0.3125, average_max_q: 6.356169716012665
moves: 50140, loss: 860.6309204101562, accuracy: 0.40625, average_max_q: 5.236735347029754
moves: 50144, loss: 932.79296875, accuracy: 0.3125, average_max_q: 8.157625210587867
moves: 50148, loss: 1360.7593994140625, accuracy: 0.46875, average_max_q: 4.681599636166357
moves: 50152, loss: 462.3457946777344, accuracy: 0.46875, average_max_q: 6.1343834648374465
moves: 50156, loss: 1707.569580078125, accuracy: 0.34375, average_max_q: 10.325772998621687
moves: 50160, loss: 1264.580078125, accuracy: 0.3125, average_max_q: 23.762573672132568
moves: 50164, loss: 486.9599304199219, accuracy: 0.34375, average_max_q: 11.854195608571171
moves: 50168, loss: 952.3638305664062, accuracy: 0.5, average_max_q: 8.024924913723954
moves: 50172, loss: 465.9300537109375, accuracy: 0.34375, average_max_q: 3.6300890766549854
moves: 50176, loss: 463.9278564453125, accuracy: 0.28125, average_max_q: 10.643055063369683
moves: 50180, loss: 1369.45751953125, accuracy: 0.40625, average_max_q: 2.569923761487007
moves: 50184, loss: 941.9476318359375, accuracy: 0.34375, average_max_q: 22.600653421645983
moves: 50188, loss: 1004.5253295898438, accuracy: 0.34375, average_max_q: 15.76672028840985
moves: 50192, loss: 889.8450317382812, accuracy: 0.5, average_max_q: 5.939914420992136
moves: 50196, loss: 1050.272705078125, accuracy: 0.40625, average_max_q: 4.689867340074851
moves: 50200, loss: 979.5083618164062, accuracy: 0.375, average_max_q: 15.12314547696151
moves: 50204, loss: 86.72860717773438, accuracy: 0.34375, average_max_q: 11.70365633738693
moves: 50208, loss: 20.82834243774414, accuracy: 0.21875, average_max_q: 7.672402190696448
moves: 50212, loss: 616.197265625, accuracy: 0.375, average_max_q: 15.902452814159915
moves: 50216, loss: 1494.01708984375, accuracy: 0.40625, average_max_q: 2.0582213690970095
moves: 50220, loss: 1107.243896484375, accuracy: 0.28125, average_max_q: 18.4872292333981
moves: 50224, loss: 502.73870849609375, accuracy: 0.3125, average_max_q: 11.047582460055128
moves: 50228, loss: 26.84958267211914, accuracy: 0.34375, average_max_q: 6.5935770948417485
moves: 50232, loss: 1377.3902587890625, accuracy: 0.3125, average_max_q: 15.047609520563856
moves: 50236, loss: 3.2385916709899902, accuracy: 0.40625, average_max_q: 2.5941236635437237
moves: 50240, loss: 486.5870666503906, accuracy: 0.1875, average_max_q: 11.964578480715863
moves: 50244, loss: 916.7349853515625, accuracy: 0.34375, average_max_q: 7.641901782876812
moves: 50248, loss: 469.5642395019531, accuracy: 0.375, average_max_q: 7.7914732048753645
moves: 50252, loss: 571.6182861328125, accuracy: 0.1875, average_max_q: 14.208235471928493
moves: 50256, loss: 20.194534301757812, accuracy: 0.4375, average_max_q: 6.8162862167926495
moves: 50260, loss: 527.3126220703125, accuracy: 0.34375, average_max_q: 9.336010514665396
moves: 50264, loss: 1620.852783203125, accuracy: 0.34375, average_max_q: 4.152550168056041
moves: 50268, loss: 843.3652954101562, accuracy: 0.28125, average_max_q: 3.0488675139844417
moves: 50272, loss: 479.3691101074219, accuracy: 0.34375, average_max_q: 12.809574351040647
moves: 50276, loss: 149.5785675048828, accuracy: 0.28125, average_max_q: 16.983139024628326
moves: 50280, loss: 964.082275390625, accuracy: 0.3125, average_max_q: 11.43786119208671
moves: 50284, loss: 2331.503662109375, accuracy: 0.375, average_max_q: 13.790033473633228
moves: 50288, loss: 893.27880859375, accuracy: 0.375, average_max_q: 6.15946288908599
moves: 50292, loss: 1496.267578125, accuracy: 0.375, average_max_q: 25.36470535778207
moves: 50296, loss: 392.4277648925781, accuracy: 0.4375, average_max_q: 4.286399938422255
moves: 50300, loss: 340.64727783203125, accuracy: 0.375, average_max_q: 8.51683381930925
moves: 50304, loss: 1809.63818359375, accuracy: 0.40625, average_max_q: 9.490068350406364
moves: 50308, loss: 888.8160400390625, accuracy: 0.34375, average_max_q: 6.46398706114851
moves: 50312, loss: 393.4371337890625, accuracy: 0.34375, average_max_q: 3.525806260970421
moves: 50316, loss: 33.45980453491211, accuracy: 0.40625, average_max_q: 11.207112700468858
moves: 50320, loss: 155.6836395263672, accuracy: 0.40625, average_max_q: 17.94809582477901
moves: 50324, loss: 885.1782836914062, accuracy: 0.34375, average_max_q: 4.970715130366442
moves: 50328, loss: 9.782526016235352, accuracy: 0.375, average_max_q: 4.997322256490588
moves: 50332, loss: 405.083984375, accuracy: 0.375, average_max_q: 21.299508366826927
moves: 50336, loss: 34.26464080810547, accuracy: 0.53125, average_max_q: 7.560240213992074
moves: 50340, loss: 904.0023803710938, accuracy: 0.375, average_max_q: 5.715334213199093
moves: 50344, loss: 421.8155212402344, accuracy: 0.28125, average_max_q: 4.2711849207757036
moves: 50348, loss: 1292.1748046875, accuracy: 0.375, average_max_q: 9.229495120118372
moves: 50352, loss: 1379.8443603515625, accuracy: 0.375, average_max_q: 6.446963092312217
moves: 50356, loss: 455.7012023925781, accuracy: 0.46875, average_max_q: 7.825762384897098
moves: 50360, loss: 458.6729431152344, accuracy: 0.5, average_max_q: 6.035894542466849
moves: 50364, loss: 337.2637939453125, accuracy: 0.28125, average_max_q: 11.101171339605933
moves: 50368, loss: 1249.0989990234375, accuracy: 0.4375, average_max_q: 8.955281260423362
moves: 50372, loss: 8.416111946105957, accuracy: 0.21875, average_max_q: 4.275710984552279
moves: 50376, loss: 1801.932373046875, accuracy: 0.46875, average_max_q: 7.405120595451445
moves: 50380, loss: 598.541015625, accuracy: 0.28125, average_max_q: 17.153412585519256
moves: 50384, loss: 933.1083984375, accuracy: 0.28125, average_max_q: 15.021084983786569
moves: 50388, loss: 947.4048461914062, accuracy: 0.40625, average_max_q: 6.352285761712119
moves: 50392, loss: 473.5490417480469, accuracy: 0.34375, average_max_q: 7.201647573104128
moves: 50396, loss: 981.4583129882812, accuracy: 0.25, average_max_q: 10.697679461119698
moves: 50400, loss: 933.4986572265625, accuracy: 0.46875, average_max_q: 5.677729671541601
moves: 50404, loss: 23.020830154418945, accuracy: 0.375, average_max_q: 6.1985159102827305
moves: 50408, loss: 476.0220642089844, accuracy: 0.4375, average_max_q: 12.035757066495716
moves: 50412, loss: 438.0462341308594, accuracy: 0.34375, average_max_q: 6.650443719839677
moves: 50416, loss: 1925.841796875, accuracy: 0.3125, average_max_q: 26.17922292742878
moves: 50420, loss: 847.4423217773438, accuracy: 0.375, average_max_q: 6.741391130932607
moves: 50424, loss: 890.0927124023438, accuracy: 0.375, average_max_q: 8.707816110365094
moves: 50428, loss: 938.1624755859375, accuracy: 0.3125, average_max_q: 7.571715921396389
moves: 50432, loss: 965.754150390625, accuracy: 0.40625, average_max_q: 8.177729514567183
moves: 50436, loss: 1329.125244140625, accuracy: 0.40625, average_max_q: 6.386178982583806
moves: 50440, loss: 496.6376037597656, accuracy: 0.25, average_max_q: 11.725734697701409
moves: 50444, loss: 420.37493896484375, accuracy: 0.3125, average_max_q: 5.069350671255961
moves: 50448, loss: 846.2960205078125, accuracy: 0.34375, average_max_q: 6.3380610631546
moves: 50452, loss: 442.7789306640625, accuracy: 0.3125, average_max_q: 4.04572253243532
moves: 50456, loss: 921.4956665039062, accuracy: 0.34375, average_max_q: 4.991888853302225
moves: 50460, loss: 102.88551330566406, accuracy: 0.375, average_max_q: 12.329225247213616
moves: 50464, loss: 938.24365234375, accuracy: 0.40625, average_max_q: 9.191777580976485
moves: 50468, loss: 929.9242553710938, accuracy: 0.3125, average_max_q: 6.520449610613287
moves: 50472, loss: 1305.913330078125, accuracy: 0.46875, average_max_q: 5.821791084075812
moves: 50476, loss: 15.249552726745605, accuracy: 0.21875, average_max_q: 5.919707609491889
moves: 50480, loss: 1196.1678466796875, accuracy: 0.3125, average_max_q: 7.320726120495237
moves: 50484, loss: 956.4151611328125, accuracy: 0.3125, average_max_q: 10.506820351548958
moves: 50488, loss: 881.4937744140625, accuracy: 0.28125, average_max_q: 5.647650101117325
moves: 50492, loss: 963.198486328125, accuracy: 0.3125, average_max_q: 12.37653730791062
moves: 50496, loss: 1720.4144287109375, accuracy: 0.3125, average_max_q: 3.8893798654666165
moves: 50500, loss: 1047.346435546875, accuracy: 0.4375, average_max_q: 3.9814185158116744
moves: 50504, loss: 903.6182861328125, accuracy: 0.375, average_max_q: 9.21889446923451
moves: 50508, loss: 1646.487060546875, accuracy: 0.3125, average_max_q: 4.322189115028595
